ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
21,DHOLE PATIL ROAD,12139,2020,9007118.89085252,600092.530123692,7742642.006761914,660.1155853271484,3395.0680389404297,424791.1902615117,6.662424881869118,85.96136123644612,0.0073288206065265865,0.03769316337534308,4.716171679413742
20,DHOLE PATIL ROAD,69323,2020,3560419.0112141008,267370.2258015651,2999823.6113158255,2074.9912109375,0.0,219693.28393476902,7.509515732823593,84.25479141267948,0.058279410496404734,0.0,6.170433402439724
52,NAGAR ROAD-VADGAONSHERI,4267,2020,2.9599354269944597E7,599239.718485155,1.811558373475779E7,0.0,246834.86065287873,440022.8457920747,2.0245026733357743,61.20263154913648,0.0,0.8339197483896353,1.4865960986144793
45,NAGAR ROAD-VADGAONSHERI,37898,2020,1.9780699307192303E7,514253.29074772855,1.1131633482168742E7,8768.634254455566,73927.16208995745,140472.50398736098,2.599773055347669,56.275227226780885,0.04432924295688208,0.3737338146739705,0.7101493319616101
4,NAGAR ROAD-VADGAONSHERI,16420,2020,9880834.790372405,331843.27710122487,8082612.870596822,0.0,6722.1891580020665,324093.0775165631,3.3584538567992572,81.80091097639122,0.0,0.06803260352609043,3.2800171685124204
3,NAGAR ROAD-VADGAONSHERI,13570,2020,1.717799484801488E7,1265601.3308287375,1.1125439606165336E7,754.2452926635742,511757.00022125244,95034.3729171753,7.367573119134989,64.7656475892529,0.004390764459629211,2.9791428205044084,0.5532332135270004
5,NAGAR ROAD-VADGAONSHERI,5084,2020,6983966.98790857,627087.40184021,5426211.868247446,0.0,282.90731048583984,300484.1100465366,8.978957130322842,77.69526799943233,0.0,0.004050811107435656,4.302484684804045
1,YERWADA-KALAS-DHANORI,109608,2020,1.572442166049081E7,2143352.971031161,7858704.801730092,7825.059753417969,1602.5182266235352,411849.6856442322,13.630726886550942,49.97770329115427,0.0497637364500293,0.010191269740940763,2.619172231173665
2,YERWADA-KALAS-DHANORI,50493,2020,5952044.4234634675,1255786.960933971,3836921.3478681976,29514.31391143799,0.0,133507.45218814028,21.098413781717614,64.46392323186846,0.49586850855968145,0.0,2.243052011874147
6,YERWADA-KALAS-DHANORI,3768,2020,2256289.9061160805,234424.11182313808,1817363.4723053542,0.0,0.0,117653.70798917282,10.389804571996235,80.54654091121283,0.0,0.0,5.214476547107322
9,AUNDH-BANER,79889,2020,2.922236348867046E7,5804448.888912537,1.8169643316506937E7,22349.849380493164,0.0,330129.3617181513,19.863037057775728,62.17718605666966,0.07648200457556495,0.0,1.1297147879436338
8,AUNDH-BANER,29757,2020,7957137.9741747035,930864.2055057905,6371515.009087064,0.0,0.0,289031.5715993847,11.698480138549284,80.07294871304407,0.0,0.0,3.632355911603536
60,AUNDH-BANER,1069,2020,4803167.627501548,76830.57887890385,2877328.370249579,2451.407745361328,6034.456359863281,153787.8397525863,1.5995814603470049,59.904808522085084,0.051037314028460644,0.1256349315254319,3.2018003883945587
61,AUNDH-BANER,20950,2020,9077385.159510005,1970925.507167862,4207435.54418383,0.0,7449.5918045043945,0.0,21.712480769894444,46.35074385684595,0.0,0.08206759626917187,0.0
10,KOTHRUD-BAVDHAN,46103,2020,1.036689351806913E7,2058365.5109201176,6580769.001222999,0.0,94.32064819335938,430.9409082450119,19.855181374559884,63.4786977386519,0.0,9.098255714593944E-4,0.004156895288775727
12,KOTHRUD-BAVDHAN,20331,2020,2889116.2547291806,112563.619553839,2767859.6148896185,0.0,0.0,0.0,3.8961263455419686,95.80298509479923,0.0,0.0,0.0
11,KOTHRUD-BAVDHAN,49444,2020,4562202.484325336,1263510.1900848693,2256583.840182824,0.0,0.0,0.0,27.69518000189592,49.46259724192251,0.0,0.0,0.0
62,KOTHRUD-BAVDHAN,43017,2020,5093024.023696449,717492.1668544693,2781535.7172205597,0.0,0.0,0.0,14.087743617861893,54.61462000333858,0.0,0.0,0.0
7,SHIVAJINAGAR-GHOLE ROAD,35318,2020,1.0644311521175722E7,2004417.4548649495,6651404.341608436,471.4699172973633,0.0,359131.6140125651,18.830879299965762,62.48787747686806,0.004429313407066527,0.0,3.3739299465081523
14,SHIVAJINAGAR-GHOLE ROAD,14079,2020,5947325.365365962,165290.91266862457,5467106.668613296,0.0,0.0,128074.898955461,2.7792478553668905,91.92546788260144,0.0,0.0,2.15348734241615
40,DHANKAWADI-SAHAKARNAGAR,7326,2020,4972068.4378424585,345498.2628142413,4438708.417394935,3585.1781311035156,0.0,0.0,6.948783330990596,89.2728745166073,0.07210637134068172,0.0,0.0
51,DHANKAWADI-SAHAKARNAGAR,4112,2020,3763283.4222621247,144814.11700295846,2470872.642656395,0.0,121288.4755993413,338185.0668221268,3.848078944739966,65.6573626115873,0.0,3.222942892949432,8.986436281188793
42,DHANKAWADI-SAHAKARNAGAR,4926,2020,2474204.183188075,1739.7594816918465,2472464.423706383,0.0,0.0,0.0,0.07031592192403952,99.92968407807594,0.0,0.0,0.0
35,DHANKAWADI-SAHAKARNAGAR,13277,2020,4104450.982774262,265811.33704609587,3533654.0684518204,0.0,0.0,0.0,6.47617277345166,86.09322131710218,0.0,0.0,0.0
39,DHANKAWADI-SAHAKARNAGAR,892,2020,1599763.8425800973,0.0,1599763.8425800973,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,11067,2020,9510691.453207772,4998028.516476801,1117199.8882379571,0.0,43193.55810801188,48344.18273351333,52.5516839765742,11.746778809243647,0.0,0.4541579160729005,0.5083140691858715
64,DHANKAWADI-SAHAKARNAGAR,2155,2020,1921712.2641600673,70508.66550879386,1413286.585348272,0.0,61547.36992343079,2898.659151234346,3.6690542504088897,73.54309027975032,0.0,3.202735969962268,0.1508373134362692
65,DHANKAWADI-SAHAKARNAGAR,1025,2020,2219342.077154634,498193.292314896,1073125.2621576944,0.0,18112.83335361855,10003.036247253418,22.44779195794899,48.35330583798614,0.0,0.8161352654945643,0.4507207946995748
66,DHANKAWADI-SAHAKARNAGAR,6823,2020,7526850.911097319,3655153.435817704,559620.6302762497,0.0,1375.6108092364143,4529.927322387695,48.56152299268579,7.434990235440497,0.0,0.01827604698810047,0.060183566486071
67,SINHGAD ROAD,11512,2020,4261982.131157076,265381.61908874515,3674296.0350034228,0.0,3846.3728716681985,38.11607645072189,6.226718248034918,86.21096761862529,0.0,0.09024845138484791,8.94327457923289E-4
43,SINHGAD ROAD,31170,2020,9423039.820878537,2848761.2971280855,4130386.8609726285,0.0,160016.39166134104,32914.13845062256,30.23187157520138,43.832849478370775,0.0,1.6981398222131492,0.34929427314628364
33,SINHGAD ROAD,5479,2020,6980337.898457712,393024.08732207055,6170454.546298052,11226.709518432617,0.0,58360.43065574497,5.630445016263586,88.39764830956678,0.16083332471502748,0.0,0.8360688480229526
71,SINHGAD ROAD,12510,2020,4518950.236548627,1470755.4307988782,2500916.752685037,0.0,1886.8814315795898,168171.23133975762,32.546395817852066,55.3428699536892,0.0,0.04175486192166404,3.721466768534263
70,SINHGAD ROAD,9693,2020,3164090.1555890236,851406.400552458,1670657.7664378458,0.0,0.0,0.0,26.90841153968197,52.80057407614663,0.0,0.0,0.0
34,SINHGAD ROAD,9333,2020,6411383.07290671,1977656.8578920248,3656132.766145744,188.67623901367188,0.0,92270.53085303228,30.846025504999503,57.02564835964752,0.0029428320982875272,0.0,1.4391673341583668
30,SINHGAD ROAD,8914,2020,2067845.1595951747,119152.13115171545,1824268.9583846438,0.0,0.0,59944.808567570704,5.762139906792734,88.22077174974666,0.0,0.0,2.8989021875944614
68,SINHGAD ROAD,40221,2020,7276635.81572705,5149907.349693487,411795.95979551435,0.0,31861.971864468444,2523.257692613789,70.77319080010783,5.65915307875511,0.0,0.4378667927231553,0.03467615745122563
69,SINHGAD ROAD,8066,2020,3606711.701574345,2057420.455358107,398657.9303272921,0.0,43296.12170377245,1509.8969497680664,57.04421715935971,11.053224191810957,0.0,1.2004320080497008,0.04186353317646625
72,SINHGAD ROAD,1847,2020,8838331.410712812,4563438.609823127,1703080.608416596,0.0,0.0,1071583.413373432,51.63235454479395,19.269254899768942,0.0,0.0,12.124272824558053
32,WARJE-KARVENAGAR,4720,2020,7036861.469536458,1127311.9504623401,4544303.209814333,0.0,943.2950744628906,55373.508126023225,16.020095824575044,64.57855152452905,0.0,0.013405053922782833,0.7869063270002224
50,WARJE-KARVENAGAR,809,2020,7413572.433156205,2425361.6069897544,2307024.2288719057,1320.7538375854492,94.34491729736328,96947.76903752342,32.71515357619831,31.11892747623332,0.01781534947549113,0.0012725972282326174,1.3077065060285589
13,WARJE-KARVENAGAR,12983,2020,4483597.376064988,39688.49899435604,4360407.492384318,0.0,0.0,83501.3846863092,0.8851931979045922,97.25243206853719,0.0,0.0,1.8623747335581204
44,WARJE-KARVENAGAR,2736,2020,201144.64948374426,90.64619023940143,187314.57136341164,0.0,0.0,13739.4319300932,0.04506517596766953,93.12431220227396,0.0,0.0,6.830622621758363
73,WARJE-KARVENAGAR,340,2020,5004790.974533911,2063137.9285249307,486827.7794713647,0.0,0.0,1359034.5037408264,41.22325865401537,9.72723500239093,0.0,0.0,27.15467060774484
74,WARJE-KARVENAGAR,3139,2020,1.2589662866660876E7,7241866.688827928,2163087.749296123,102273.89237213135,0.0,18946.197957985067,57.52232419190007,17.181458885799643,0.8123640279754146,0.0,0.15049011366425985
31,WARJE-KARVENAGAR,5991,2020,3096325.245348223,13690.511450344908,2884995.9443578064,0.0,0.0,92097.2052805583,0.44215353251125356,93.17483519188082,0.0,0.0,2.9744034616169897
26,HADAPSAR-MUNDHAWA,18840,2020,1.0660631143943626E7,382113.7499814501,8801617.159818046,0.0,0.0,0.0,3.5843445366603026,82.56187688116667,0.0,0.0,0.0
75,HADAPSAR-MUNDHAWA,40783,2020,1.768714283299045E7,885337.0244431432,9354014.527637724,5377.161041259766,63700.99104324042,140498.279521987,5.005540085263478,52.88595572480146,0.030401524384312466,0.3601542184892855,0.7943526031797883
