ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
21,DHOLE PATIL ROAD,12139,2023,9007118.89085252,522090.01123031904,7919611.209527018,7836.605627261892,188.6151885986328,353531.15178647515,5.796415230629907,87.92613160208246,0.0870045762937649,0.0020940679354214723,3.92501926609979
20,DHOLE PATIL ROAD,69323,2023,3560419.0112141008,280401.88886401604,3057185.9622146282,2735.19181060791,0.0,183410.0235616647,7.875530604146482,85.8659037766493,0.0768221886804051,0.0,5.151360639969226
52,NAGAR ROAD-VADGAONSHERI,4267,2023,2.9599354269944597E7,570191.8707629335,2.0671577622121647E7,2356.9592208862305,291197.2315704945,351108.74952536175,1.9263659117790637,69.8379344143724,0.007962873782282151,0.9837958926900588,1.1862040851407363
45,NAGAR ROAD-VADGAONSHERI,37898,2023,1.9780699307192303E7,404156.30766425043,1.2229817554806314E7,6977.192848205566,29413.680450439453,102397.18219427973,2.0431851340933047,61.82702322541007,0.03527273095784154,0.14869889074014983,0.5176620937615077
4,NAGAR ROAD-VADGAONSHERI,16420,2023,9880834.790372405,317847.04696921544,8393997.08179785,0.0,0.0,247311.473139026,3.216803576949958,84.95230676234678,0.0,0.0,2.50294108125357
3,NAGAR ROAD-VADGAONSHERI,13570,2023,1.717799484801488E7,1213419.7558057597,1.1203442211313674E7,0.0,736143.7014541626,56567.84585571289,7.063803235137102,65.21973204927562,0.0,4.28538783465308,0.329304126332591
5,NAGAR ROAD-VADGAONSHERI,5084,2023,6983966.98790857,448015.2949142456,5703825.127380546,0.0,3677.7772521972656,305937.1011003982,6.414911406223714,81.67027618050959,0.0,0.052660289754585726,4.380563390836053
1,YERWADA-KALAS-DHANORI,109608,2023,1.572442166049081E7,2112428.8215714702,8492542.816515164,10087.59196472168,0.0,396247.88859944075,13.434063695195608,54.008617931262506,0.06415238781129717,0.0,2.5199520666318262
2,YERWADA-KALAS-DHANORI,50493,2023,5952044.4234634675,1306818.803325789,3800198.043897741,54030.986404418945,0.0,139013.67040611716,21.95579720766528,63.846936842692834,0.9077718941650399,0.0,2.3355617081437328
6,YERWADA-KALAS-DHANORI,3768,2023,2256289.9061160805,251875.08890452667,1795102.4711484388,0.0,0.0,124160.96797320794,11.163241400042336,79.55992119108852,0.0,0.0,5.5028818609101275
9,AUNDH-BANER,79889,2023,2.922236348867046E7,6429919.13200216,1.8880796074730266E7,31873.054176330566,21973.541465759277,564284.8613720763,22.003419177559152,64.6107768868537,0.10907076078458808,0.07519426508495262,1.9310034987103288
8,AUNDH-BANER,29757,2023,7957137.9741747035,1037147.6558058205,6349834.541813787,0.0,0.0,276086.76716562925,13.03417961548406,79.80048306844118,0.0,0.0,3.4696742479731144
60,AUNDH-BANER,1069,2023,4803167.627501548,87918.61977844236,3312055.468984684,2357.1226654052734,51481.85266113281,98004.66626736512,1.830429970318874,68.955650225922,0.04907433694191873,1.0718312716458742,2.040417363454458
61,AUNDH-BANER,20950,2023,9077385.159510005,1980888.3041464125,4708191.171892381,0.0,1885.867530822754,94.29093933105469,21.822234810331,51.86726231352872,0.0,0.020775449071333142,0.0010387456043139244
10,KOTHRUD-BAVDHAN,46103,2023,1.036689351806913E7,1990267.8708874288,6986452.077026061,0.0,22354.00799560547,1548.4214005114986,19.19830533050679,67.39195367299685,0.0,0.215628799086662,0.014936213995182402
12,KOTHRUD-BAVDHAN,20331,2023,2889116.2547291806,137620.89145866843,2750429.6353898607,0.0,0.0,0.0,4.7634251904331455,95.19968713227429,0.0,0.0,0.0
11,KOTHRUD-BAVDHAN,49444,2023,4562202.484325336,1228813.5701104258,2435422.7685479857,0.0,0.0,0.0,26.93465654653301,53.38261019574494,0.0,0.0,0.0
62,KOTHRUD-BAVDHAN,43017,2023,5093024.023696449,716924.8401194554,3186705.610761425,0.0,2169.1866912841797,11977.614082336426,14.076604327484027,62.5700094076634,0.0,0.04259133043927433,0.235176862049106
7,SHIVAJINAGAR-GHOLE ROAD,35318,2023,1.0644311521175722E7,1970554.5369758152,6763705.203311954,0.0,2357.595878601074,324545.7321898817,18.51274770618661,63.54290918540184,0.0,0.022148880873233454,3.049006331167897
14,SHIVAJINAGAR-GHOLE ROAD,14079,2023,5947325.365365962,142834.31727758667,5486573.557612816,1131.7977752685547,0.0,120592.56937911078,2.4016563497497088,92.2527896247897,0.019030365849151937,0.0,2.0276773502485224
40,DHANKAWADI-SAHAKARNAGAR,7326,2023,4972068.4378424585,285256.80658868526,4538860.902424804,0.0,0.0,54072.81108147116,5.737185844378027,91.28717673874904,0.0,0.0,1.087531512437007
51,DHANKAWADI-SAHAKARNAGAR,4112,2023,3763283.4222621247,111117.4579903098,2726926.0805130904,0.0,77177.42777898451,313900.9351557115,2.9526731187181396,72.46135288088199,0.0,2.0508003017373815,8.34114521640319
42,DHANKAWADI-SAHAKARNAGAR,4926,2023,2474204.183188075,943.5273742675781,2473260.6558138076,0.0,0.0,0.0,0.0381345800269329,99.96186541997307,0.0,0.0,0.0
35,DHANKAWADI-SAHAKARNAGAR,13277,2023,4104450.982774262,311517.19076217944,3499602.7013750817,7074.8946533203125,0.0,0.0,7.589740797723454,85.26360080952036,0.17237127896063414,0.0,0.0
39,DHANKAWADI-SAHAKARNAGAR,892,2023,1599763.8425800973,0.0,1599763.8425800973,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,11067,2023,9510691.453207772,5819161.11197989,1304967.5534341857,0.0,562.8546200920554,38503.84825897217,61.18546838166219,13.721058661765811,0.0,0.00591812512119942,0.4048480433668739
64,DHANKAWADI-SAHAKARNAGAR,2155,2023,1921712.2641600673,73769.4450799381,1531499.3448611696,0.0,12742.158793879491,8587.166862487793,3.838735197549509,79.69451896746624,0.0,0.6630627816411825,0.4468497715624993
65,DHANKAWADI-SAHAKARNAGAR,1025,2023,2219342.077154634,536087.2437849157,1250814.0851638804,0.0,4254.544339946672,0.0,24.15523272880134,56.35967965639256,0.0,0.19170295484152325,0.0
66,DHANKAWADI-SAHAKARNAGAR,6823,2023,7526850.911097319,4265535.84115161,756930.4714613378,0.0,471.8617630004883,377.49478912353516,56.67092242869667,10.056403141257212,0.0,0.006269046226288238,0.005015308441502015
67,SINHGAD ROAD,11512,2023,4261982.131157076,364590.33535473386,3724421.677364782,0.0,3528.851665392109,1946.8767470715095,8.554478271727339,87.38707865848437,0.0,0.08279836838344673,0.04568007765304629
43,SINHGAD ROAD,31170,2023,9423039.820878537,2610568.138240799,4400521.450487751,0.0,272096.48376799934,34061.89075155819,27.70409748727357,46.69959518517112,0.0,2.8875658910526707,0.36147454960433884
33,SINHGAD ROAD,5479,2023,6980337.898457712,369211.5610449998,6341169.61890021,1037.7507553100586,0.0,49375.085604439526,5.28930785895875,90.84330459563105,0.014866769637890269,0.0,0.7073452076775371
71,SINHGAD ROAD,12510,2023,4518950.236548627,1287181.3773086844,2706083.382415501,5000.658561706543,12548.763717651367,161667.11549176983,28.48407948594221,59.88300912298355,0.11065973953999157,0.2776920094441127,3.5775369727294004
70,SINHGAD ROAD,9693,2023,3164090.1555890236,727079.8596496882,1833913.2334497506,0.0,0.0,0.0,22.979113233084718,57.96020793561589,0.0,0.0,0.0
34,SINHGAD ROAD,9333,2023,6411383.07290671,2103879.4554754505,3716816.0854322864,0.0,0.0,79734.12587881656,32.814752005164785,57.97214178542609,0.0,0.0,1.243633783414968
30,SINHGAD ROAD,8914,2023,2067845.1595951747,116692.2557402966,1845394.7214208553,0.0,0.0,49506.71712520825,5.643181511866277,89.24240351642824,0.0,0.0,2.3941210924564706
68,SINHGAD ROAD,40221,2023,7276635.81572705,5311995.323277047,424456.81665299373,0.0,47124.62748745188,2529.1792309929347,73.00070331671937,5.833146352269161,0.0,0.6476155833661629,0.03475753486970723
69,SINHGAD ROAD,8066,2023,3606711.701574345,2087530.4339385668,408216.24992209056,0.0,91585.76835910573,749.0224595911362,57.87904902483197,11.318238986052098,0.0,2.539314919990088,0.020767461376638024
72,SINHGAD ROAD,1847,2023,8838331.410712812,4477595.195491565,1929456.83297804,0.0,0.0,1066852.7928009937,50.66109186700487,21.830555376542833,0.0,0.0,12.070748914301596
32,WARJE-KARVENAGAR,4720,2023,7036861.469536458,1132321.1267451264,4703244.591022776,3868.014259338379,0.0,33622.876307738064,16.091280631956455,66.8372485572406,0.05496788981968091,0.0,0.4778106895140131
50,WARJE-KARVENAGAR,809,2023,7413572.433156205,2821120.631160932,2300899.59807192,0.0,754.7119598388672,69686.16915612313,38.053457447098644,31.036313718086255,0.0,0.010180138747461608,0.9399809576886455
13,WARJE-KARVENAGAR,12983,2023,4483597.376064988,25841.528952175966,4380319.023840671,0.0,0.0,77211.19417224957,0.5763570362077356,97.69652929195533,0.0,0.0,1.7220813488835984
44,WARJE-KARVENAGAR,2736,2023,201144.64948374426,1248.6970792284196,186459.5385907939,0.0,0.0,13436.413813721898,0.6207955729537487,92.69922867417006,0.0,0.0,6.67997575287618
73,WARJE-KARVENAGAR,340,2023,5004790.974533911,2312270.9551609713,500808.5094601511,0.0,0.0,1357575.669134372,46.20114939717956,10.006581933360177,0.0,0.0,27.125521845810972
74,WARJE-KARVENAGAR,3139,2023,1.2589662866660876E7,7272274.895973052,2339785.299367332,88593.26708984375,0.0,14606.912117423259,57.763857324813806,18.584971846731484,0.7036984868312135,0.0,0.11602306012581426
