ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2024,2025,2024_to_2025,39185.08877261293,304022.51583724684,264837.4270646339,123335.99022339462,34846.87688143861
20,DHOLE PATIL ROAD,2024,2025,2024_to_2025,26405.64559173584,24814.37569986979,-1591.2698918660499,13787.821427528532,10845.3404006958
52,NAGAR ROAD-VADGAONSHERI,2024,2025,2024_to_2025,81369.82053354301,549128.5616236668,467758.7410901238,719731.9493684657,36586.36612680473
45,NAGAR ROAD-VADGAONSHERI,2024,2025,2024_to_2025,56774.185497598075,415073.68023532024,358299.49473772215,451693.48221184226,3582.3544311523438
4,NAGAR ROAD-VADGAONSHERI,2024,2025,2024_to_2025,13566.521218183929,151373.3743882422,137806.85317005828,90024.65697643804,11598.317665100098
3,NAGAR ROAD-VADGAONSHERI,2024,2025,2024_to_2025,99256.9892908433,703511.3797172395,604254.3904263963,413379.7859287038,33342.15058115043
5,NAGAR ROAD-VADGAONSHERI,2024,2025,2024_to_2025,26781.482078552246,130227.68003082275,103446.19795227051,110522.15787215887,8392.721618652344
1,YERWADA-KALAS-DHANORI,2024,2025,2024_to_2025,88730.58586946376,809119.8485546937,720389.26268523,158383.94177338842,20269.747532773486
2,YERWADA-KALAS-DHANORI,2024,2025,2024_to_2025,64323.7691414029,394403.3323830397,330079.5632416368,39482.89013812495,13233.883402207319
6,YERWADA-KALAS-DHANORI,2024,2025,2024_to_2025,30247.883074741738,67519.83895544914,37271.955880707406,31662.292338352578,27513.161814670937
9,AUNDH-BANER,2024,2025,2024_to_2025,117374.35066142362,2436658.627211746,2319284.2765503223,346453.6726589128,46395.06908416748
8,AUNDH-BANER,2024,2025,2024_to_2025,36983.94267473408,256329.05085978788,219345.1081850538,54365.96493703805,22651.82460222431
60,AUNDH-BANER,2024,2025,2024_to_2025,12163.303268432617,104769.81128282733,92606.50801439471,195978.63352981274,1508.6366119384766
61,AUNDH-BANER,2024,2025,2024_to_2025,44984.65579893823,946868.4776391129,901883.8218401746,161368.66612886914,9524.313949584961
10,KOTHRUD-BAVDHAN,2024,2025,2024_to_2025,78339.80444314994,818966.6780275832,740626.8735844332,187943.0163885977,27544.36917488248
12,KOTHRUD-BAVDHAN,2024,2025,2024_to_2025,2075.2073669433594,35814.587857324936,33739.380490381576,3209.7416247797946,2075.2073669433594
11,KOTHRUD-BAVDHAN,2024,2025,2024_to_2025,9714.310775756836,605322.8626455562,595608.5518697994,40833.350481040805,2263.533805847168
62,KOTHRUD-BAVDHAN,2024,2025,2024_to_2025,27633.283393859863,508251.9282559859,480618.64486212604,267932.42883211025,16410.12720489502
7,SHIVAJINAGAR-GHOLE ROAD,2024,2025,2024_to_2025,75972.04299576701,865804.2001546217,789832.1571588548,142853.5334587546,51657.141548306325
14,SHIVAJINAGAR-GHOLE ROAD,2024,2025,2024_to_2025,7733.418983459473,84639.07160842,76905.65262496052,21554.473720535578,6601.720024108887
40,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,30569.634956359863,82536.09952515247,51966.46456879261,18870.172454833984,15001.832626342773
51,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,2670.121630231072,55884.71941031662,53214.59778008555,125870.70516731417,2592.406983648562
42,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,1132.232276916504,0.0,-1132.232276916504,1132.232276916504,1132.232276916504
35,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,2830.005683898926,287916.0056943707,285086.0000104718,18763.08051362879,1509.293846130371
39,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,0.0,8.139444986979166,8.139444986979166,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,85757.57129193474,2638345.244132877,2552587.672840942,59983.887214570874,2170.5000381469727
64,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,4057.528121948242,39499.12258175121,35441.59445980297,78822.29371909346,943.6095352172852
65,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,6147.0856916539815,235303.3021864947,229156.21649484072,76554.05771843404,3868.952995300293
66,DHANKAWADI-SAHAKARNAGAR,2024,2025,2024_to_2025,46426.20006731818,1909811.1838967723,1863384.983829454,105172.49519393021,2548.0294876098633
67,SINHGAD ROAD,2024,2025,2024_to_2025,4578.88041564343,155562.01516666787,150983.13475102445,14336.386829600611,1181.9130313050514
43,SINHGAD ROAD,2024,2025,2024_to_2025,81803.18751472024,918585.5970075121,836782.4094927919,93530.76326614081,15946.97322845459
33,SINHGAD ROAD,2024,2025,2024_to_2025,47541.767546410665,67263.17467726165,19721.40713085098,45613.828959147126,27564.23925637638
71,SINHGAD ROAD,2024,2025,2024_to_2025,112052.04529239428,131288.44722116506,19236.401928770778,132946.31956248562,57547.984345649274
70,SINHGAD ROAD,2024,2025,2024_to_2025,46625.294845311786,282223.34541332774,235598.05056801595,39357.11811245189,6605.181335449219
34,SINHGAD ROAD,2024,2025,2024_to_2025,23991.41619639677,686322.9628825763,662331.5466861795,48457.435624994025,5229.553581417308
30,SINHGAD ROAD,2024,2025,2024_to_2025,6980.178649902344,64178.04187209186,57197.86322218952,2453.634850326239,377.30311584472656
68,SINHGAD ROAD,2024,2025,2024_to_2025,23547.140893225576,1609086.7558462687,1585539.6149530432,23047.898414551975,1132.4384155273438
69,SINHGAD ROAD,2024,2025,2024_to_2025,28781.329949651983,721742.3189349009,692960.988985249,41879.321475339406,1887.3305892944336
72,SINHGAD ROAD,2024,2025,2024_to_2025,75223.15301998363,1401809.5333929919,1326586.3803730083,66091.53424105176,26743.832973166074
