ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
74,WARJE-KARVENAGAR,2019,2020,2019_to_2020,352290.5655988507,2832754.838101555,2480464.2725027045,152585.022643295,77221.00219188018
31,WARJE-KARVENAGAR,2019,2020,2019_to_2020,5379.552528830135,13690.511450344908,8310.958921514772,10484.453034135404,1131.9969940185547
26,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,754.6835479736328,370038.5926251879,369283.90907721425,275520.0143353631,754.6835479736328
75,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,22003.923030090333,643421.2462750305,621417.3232449403,755163.5949442842,6438.287028503418
22,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,17848.944461328843,357750.2701197007,339901.32565837185,236400.18008572445,9738.187213404039
54,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,849.2169189453125,1075706.6997724643,1074857.482853519,263244.9871542539,0.0
23,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,5187.983848571777,69214.90200820623,64026.91815963446,46637.55600098255,0.0
49,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,5585.117995198568,54343.079476958635,48757.96148176007,255489.20022971957,562.1669371062634
53,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,65372.082290649414,192115.65021443085,126743.56792378143,195098.93571813247,21507.396377563477
56,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,1981.3868255615234,346893.5820472267,344912.1952216652,367124.6367295509,1037.8691482543945
55,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,52215.61172987995,920231.1355939684,868015.5238640885,595135.5723372517,12991.611569213866
48,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,1037.8778839111328,115608.53499292112,114570.65710900999,475588.01895126625,377.3716735839844
47,HADAPSAR-MUNDHAWA,2019,2020,2019_to_2020,14244.162010821174,89672.24641888187,75428.08440806069,67505.86545628565,8019.509926470589
41,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,4717.820930480957,1260556.8712811049,1255839.050350624,813390.4867242553,3774.1831817626953
38,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,377.4114227294922,9756.691382135134,9379.279959405641,27457.283864518708,377.4114227294922
46,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,0.0,1604.0610580444336,1604.0610580444336,130912.55277240228,0.0
57,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,94.36003875732422,1253057.673894934,1252963.3138561766,438403.4308527629,0.0
58,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,2642.2149047851562,274726.2006215413,272083.98571675614,288766.07183059986,754.9167404174805
59,KONDHWA-YEWALEWADI,2019,2020,2019_to_2020,6417.161117553711,577458.1439331054,571040.9828155517,175356.47619009574,283.11541748046875
24,WANAVADI-RAMTEKDI,2019,2020,2019_to_2020,7357.632186889648,350365.1583190319,343007.52613214223,266443.7727705114,3584.3482971191406
27,WANAVADI-RAMTEKDI,2019,2020,2019_to_2020,1603.6988525390625,161879.68281908223,160275.98396654316,34036.90111502853,1603.6988525390625
25,WANAVADI-RAMTEKDI,2019,2020,2019_to_2020,38950.41257728128,392621.65629188716,353671.24371460587,83093.3489523495,35460.17499793557
25,WANAVADI-RAMTEKDI,2019,2020,2019_to_2020,80848.20666321398,538275.6944528018,457427.4877895879,127576.62130270562,76698.40913208605
18,BHAVANI PETH,2019,2020,2019_to_2020,0.0,0.0,0.0,0.0,0.0
17,BHAVANI PETH,2019,2020,2019_to_2020,0.0,0.0,0.0,0.0,0.0
19,BHAVANI PETH,2019,2020,2019_to_2020,0.0,0.0,0.0,0.0,0.0
28,BIBVEWADI,2019,2020,2019_to_2020,13944.513087852329,40508.41199687884,26563.89890902651,44647.32911990297,12812.554790122836
36,BIBVEWADI,2019,2020,2019_to_2020,1509.390769958496,64808.124389289405,63298.73361933091,112279.3173602235,943.3670654296875
37,BIBVEWADI,2019,2020,2019_to_2020,0.0,5849.245658874512,5849.245658874512,6321.053771972656,0.0
15,KASBA-VISHRAMBAGWADA,2019,2020,2019_to_2020,0.0,0.0,0.0,172.7288584391276,0.0
29,KASBA-VISHRAMBAGWADA,2019,2020,2019_to_2020,4527.449867248535,35454.60141086952,30927.15154362099,14090.102009373086,4527.449867248535
16,KASBA-VISHRAMBAGWADA,2019,2020,2019_to_2020,0.0,0.0,0.0,0.0,0.0
