ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2022,2023,2022_to_2023,235527.87987787585,50076.26931263046,-185451.61056524538,290440.40027947514,191133.5816414029
20,DHOLE PATIL ROAD,2022,2023,2022_to_2023,26928.46160972445,10092.183048323088,-16836.278561401363,47949.06405663585,22494.248602833464
52,NAGAR ROAD-VADGAONSHERI,2022,2023,2022_to_2023,584561.2982143625,45225.3063560336,-539335.9918583289,1452622.1099735936,119463.75250324923
45,NAGAR ROAD-VADGAONSHERI,2022,2023,2022_to_2023,455300.0900970157,23730.30345539766,-431569.78664161806,489252.9415131811,30349.596736982756
4,NAGAR ROAD-VADGAONSHERI,2022,2023,2022_to_2023,117401.30193457507,20621.761583964028,-96779.54035061103,178130.26419438384,60536.17476280061
3,NAGAR ROAD-VADGAONSHERI,2022,2023,2022_to_2023,584892.0518455356,100275.93087774538,-484616.12096779025,357956.39656632376,133102.81882593496
5,NAGAR ROAD-VADGAONSHERI,2022,2023,2022_to_2023,161064.73348236084,31684.21922302246,-129380.51425933838,178147.2369443108,102975.04261016846
1,YERWADA-KALAS-DHANORI,2022,2023,2022_to_2023,562120.5291921577,83407.13372434725,-478713.39546781045,424213.1239689846,106958.06369392545
2,YERWADA-KALAS-DHANORI,2022,2023,2022_to_2023,210360.57245662902,76613.80530210008,-133746.76715452893,144785.18341893214,126681.57886570947
6,YERWADA-KALAS-DHANORI,2022,2023,2022_to_2023,36967.44496983547,7732.596870422363,-29234.84809941311,23176.90834126192,14242.358485412598
9,AUNDH-BANER,2022,2023,2022_to_2023,1190571.3316802082,446271.6722251144,-744299.6594550938,728174.6200290757,457811.09850544645
8,AUNDH-BANER,2022,2023,2022_to_2023,131868.94221314078,79611.07637487676,-52257.86583826401,135906.35211768057,95282.69081696156
60,AUNDH-BANER,2022,2023,2022_to_2023,85410.54752278047,9829.270606396245,-75581.27691638423,178740.53948023182,14396.278144986021
61,AUNDH-BANER,2022,2023,2022_to_2023,497819.4081153121,102801.52713766658,-395017.8809776455,257877.0368764541,57237.51028029498
