ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2023,2024,2023_to_2024,189740.54331593236,51275.615320691875,-138464.9279952405,271200.7797324985,170193.9697926839
20,DHOLE PATIL ROAD,2023,2024,2023_to_2024,42420.982559563134,9048.932332566204,-33372.05022699693,55449.81795130711,32819.17879516003
52,NAGAR ROAD-VADGAONSHERI,2023,2024,2023_to_2024,299582.8623338289,90849.26558006137,-208733.59675376752,1542619.3767456356,94762.1340772741
45,NAGAR ROAD-VADGAONSHERI,2023,2024,2023_to_2024,199607.49894504927,98482.89864795163,-101124.60029709764,584998.9220043105,16686.490768432617
4,NAGAR ROAD-VADGAONSHERI,2023,2024,2023_to_2024,80641.41243112601,12257.982070922852,-68383.43036020316,222446.9277931064,43007.63836972105
3,NAGAR ROAD-VADGAONSHERI,2023,2024,2023_to_2024,510190.35231724166,89868.39183950984,-420321.96047773183,472640.71482361446,171227.05376497158
5,NAGAR ROAD-VADGAONSHERI,2023,2024,2023_to_2024,106180.5327835083,38568.76862335205,-67611.76416015625,225392.54398124546,79116.28628540039
1,YERWADA-KALAS-DHANORI,2023,2024,2023_to_2024,400251.2583583158,172768.28318484433,-227482.97517347147,487363.83383816,151347.7092103547
2,YERWADA-KALAS-DHANORI,2023,2024,2023_to_2024,237233.05638293104,91600.51648317225,-145632.5398997588,208161.0281702379,156350.17380691238
6,YERWADA-KALAS-DHANORI,2023,2024,2023_to_2024,40326.925907658595,10879.130384318034,-29447.79552334056,43542.88659748751,26363.184459162694
9,AUNDH-BANER,2023,2024,2023_to_2024,2226090.934616896,180604.27967242073,-2045486.654944475,934114.8909659291,614313.7799672445
8,AUNDH-BANER,2023,2024,2023_to_2024,304942.100859399,23547.1551331464,-281394.9457262526,197569.02640548407,163550.9758789661
60,AUNDH-BANER,2023,2024,2023_to_2024,47016.971489461255,32840.34021573534,-14176.631273725914,299224.4110600489,10601.957054467293
61,AUNDH-BANER,2023,2024,2023_to_2024,778524.0494095444,68045.78336869783,-710478.2660408466,529919.0958227119,89677.18105214437
10,KOTHRUD-BAVDHAN,2023,2024,2023_to_2024,802017.4017257991,60576.3208092783,-741441.0809165208,189677.04369001195,123221.19864080094
12,KOTHRUD-BAVDHAN,2023,2024,2023_to_2024,32850.99131658218,3860.8001051958868,-28990.191211386293,20563.156593322754,20563.156593322754
11,KOTHRUD-BAVDHAN,2023,2024,2023_to_2024,506235.90280169295,44841.32715421191,-461394.575647481,145453.7946886549,54815.19345481723
62,KOTHRUD-BAVDHAN,2023,2024,2023_to_2024,500546.11209821503,7356.41194152832,-493189.7001566867,194707.46720231004,106995.41942704144
7,SHIVAJINAGAR-GHOLE ROAD,2023,2024,2023_to_2024,616283.3291280105,88730.92740257113,-527552.4017254394,370882.69528129447,283142.3126471128
14,SHIVAJINAGAR-GHOLE ROAD,2023,2024,2023_to_2024,71064.85985723758,3772.4509048461914,-67292.40895239139,69587.59758698706,41670.99865707697
40,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,118253.06353269091,29814.96479034424,-88438.09874234667,104006.61837277879,79381.0376003789
51,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,64846.58689237109,2264.6140060424805,-62581.97288632861,122103.1442612293,33595.40340597115
42,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,188.7056427001953,377.4105453491211,188.70490264892578,188.7056427001953,188.7056427001953
35,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,178092.01514231355,11979.414604905072,-166112.6005374085,48805.08653187471,35635.59465792787
39,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,0.0,0.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,2685593.4072467866,68606.83166503906,-2616986.5755817476,57942.37077337528,35351.86548279407
64,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,35313.57493148505,8775.587043762207,-26537.98788772284,23865.89305246391,4250.375536989698
65,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,281087.80215092073,3410.5504285924576,-277677.25172232825,116065.64298260257,39078.413163278616
66,DHANKAWADI-SAHAKARNAGAR,2023,2024,2023_to_2024,1946188.0168633258,13953.395719161688,-1932234.6211441641,97592.90386361515,34854.2861522899
67,SINHGAD ROAD,2023,2024,2023_to_2024,171087.84766450775,6133.4067459106445,-164954.4409185971,59759.44585206275,48438.26402357513
43,SINHGAD ROAD,2023,2024,2023_to_2024,650976.5631490968,128749.80633021335,-522226.75681888347,293855.5596561805,83154.03964095771
33,SINHGAD ROAD,2023,2024,2023_to_2024,60889.1664094813,43767.37653144388,-17121.789878037423,135701.9471119301,31142.758910025805
71,SINHGAD ROAD,2023,2024,2023_to_2024,210766.33734995528,70445.23096693445,-140321.10638302081,349598.8443377326,137599.0165183273
70,SINHGAD ROAD,2023,2024,2023_to_2024,229569.94818686694,48780.47892815085,-180789.4692587161,142600.37159627277,59157.13420544793
34,SINHGAD ROAD,2023,2024,2023_to_2024,751518.8882323616,68138.9686195224,-683379.9196128392,110969.27638480987,73374.16816166895
30,SINHGAD ROAD,2023,2024,2023_to_2024,37870.19110702814,9883.636366092458,-27986.554740935684,33877.69402848786,24879.552037078258
68,SINHGAD ROAD,2023,2024,2023_to_2024,1355189.7934398875,49391.40072775448,-1305798.392712133,64425.292559216075,28356.766623822383
69,SINHGAD ROAD,2023,2024,2023_to_2024,615753.5729269291,82213.20468085795,-533540.3682460712,44113.21681793812,11088.751975684072
72,SINHGAD ROAD,2023,2024,2023_to_2024,999651.3478932399,195089.4638297287,-804561.8840635113,364852.92208473355,336190.0635074092
32,WARJE-KARVENAGAR,2023,2024,2023_to_2024,601342.1677150652,52375.82234123079,-548966.3453738344,246973.62483149514,155538.67386773802
50,WARJE-KARVENAGAR,2023,2024,2023_to_2024,1035376.920738968,150850.8432151047,-884526.0775238633,129719.68647718245,95249.93443522736
13,WARJE-KARVENAGAR,2023,2024,2023_to_2024,15922.176402970856,1438.9523216696346,-14483.224081301221,26601.563645246915,15827.84788124234
44,WARJE-KARVENAGAR,2023,2024,2023_to_2024,0.0,1014.4977726655848,1014.4977726655848,2949.15569377226,0.0
73,WARJE-KARVENAGAR,2023,2024,2023_to_2024,713800.140202242,43803.09933740952,-669997.0408648325,79338.76525899848,64057.246552770266
74,WARJE-KARVENAGAR,2023,2024,2023_to_2024,2090935.7920804797,200019.03235285144,-1890916.7597276282,273784.5584286259,212322.2024002374
31,WARJE-KARVENAGAR,2023,2024,2023_to_2024,25706.967879979755,12383.456743038403,-13323.511136941352,30030.773672964053,12430.208022802017
26,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,189921.4933648502,74520.49051591461,-115401.00284893559,230989.65126791561,63491.09951019287
75,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,368621.4198008518,137756.11394108794,-230865.30585976384,708560.9315911387,60773.23917768891
22,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,146777.95953345206,20454.147489300896,-126323.81204415116,276236.98844715196,87008.81358756272
54,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,551424.6285033281,39822.96792602539,-511601.6605773027,325882.6598572076,10799.326867795458
23,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,21884.006996154785,3846.697292582194,-18037.30970357259,24659.661347303205,12168.096153259277
49,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,76104.25967179841,10158.525710072237,-65945.73396172618,144307.3257374782,24420.18055330164
53,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,80992.27491281547,40648.37412417543,-40343.900788640036,196185.11667767697,51033.9426928651
56,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,179908.90348477833,11642.06600973092,-168266.83747504742,268972.59169939836,5507.793675202014
55,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,560022.298438996,148654.0023934458,-411368.29604555015,709778.7455507168,54457.58538115258
48,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,39471.9896768009,4978.906272469315,-34493.083404331584,503526.12067329563,7012.06539516075
47,HADAPSAR-MUNDHAWA,2023,2024,2023_to_2024,38366.773866092466,7370.503657920688,-30996.27020817178,65992.06533975039,31104.702310001154
41,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,798514.8744241751,80612.97096958537,-717901.9034545898,452811.59622180415,65203.26178741455
38,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,6524.73833247166,2075.6332244873047,-4449.1051079843555,8506.185537061503,6524.73833247166
46,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,0.0,299.31561581480736,299.31561581480736,60617.360879486674,0.0
57,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,567229.5437068864,88670.4367940566,-478559.10691282974,162516.30017598468,10097.61334991455
58,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,162589.66798999262,19387.017633385753,-143202.65035660687,201145.10312568813,23306.469902038574
59,KONDHWA-YEWALEWADI,2023,2024,2023_to_2024,582514.8692905202,2642.2911834716797,-579872.5781070485,81378.24500585815,15848.073241738712
24,WANAVADI-RAMTEKDI,2023,2024,2023_to_2024,175964.24286893962,46886.1605247348,-129078.08234420483,141672.8377872841,49321.666911734785
27,WANAVADI-RAMTEKDI,2023,2024,2023_to_2024,41875.822671538706,23206.534980773926,-18669.28769076478,31586.31402339561,12928.072219459684
25,WANAVADI-RAMTEKDI,2023,2024,2023_to_2024,296421.0350639192,40814.175600567985,-255606.85946335123,237051.26429560044,225354.64871790272
25,WANAVADI-RAMTEKDI,2023,2024,2023_to_2024,582226.7292505599,36151.1807265637,-546075.5485239963,552005.0119002697,513800.32238302793
18,BHAVANI PETH,2023,2024,2023_to_2024,0.0,0.0,0.0,0.0,0.0
17,BHAVANI PETH,2023,2024,2023_to_2024,0.0,0.0,0.0,0.0,0.0
19,BHAVANI PETH,2023,2024,2023_to_2024,0.0,0.0,0.0,0.0,0.0
28,BIBVEWADI,2023,2024,2023_to_2024,53859.42455019484,5101.144297072467,-48758.28025312237,39359.763171985105,33511.37572081323
36,BIBVEWADI,2023,2024,2023_to_2024,49629.53260632683,5565.8643798828125,-44063.66822644402,41995.663457414215,29239.355525327195
37,BIBVEWADI,2023,2024,2023_to_2024,5849.246734619141,188.6856460571289,-5660.561088562012,6037.939468383789,4339.762466430664
15,KASBA-VISHRAMBAGWADA,2023,2024,2023_to_2024,0.0,0.0,0.0,8879.287387354234,0.0
29,KASBA-VISHRAMBAGWADA,2023,2024,2023_to_2024,39615.075775146484,5775.077719026453,-33839.99805612003,65518.2665486953,36219.55115509033
16,KASBA-VISHRAMBAGWADA,2023,2024,2023_to_2024,0.0,754.5015335083008,754.5015335083008,4587.951308306526,0.0
