ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
21,DHOLE PATIL ROAD,12139,2022,9007118.89085252,707541.6217955644,7729646.482505586,3677.868942260742,1886.1510696411133,392345.90478554514,7.855360080948103,85.81708064668366,0.040832912131269015,0.020940670290881324,4.355953435720774
20,DHOLE PATIL ROAD,69323,2022,3560419.0112141008,297238.16742541746,3015277.891002638,1414.760726928711,0.0,197577.190443241,8.348404120111116,84.68884930412811,0.03973579296348826,0.0,5.5492679322557406
52,NAGAR ROAD-VADGAONSHERI,4267,2022,2.9599354269944597E7,1109527.8626212624,1.9600959294142816E7,471.36942291259766,124868.38283861947,404413.8372615441,3.748486715292587,66.22090169732444,0.001592499007288242,0.42186184772757607,1.3662927696777116
45,NAGAR ROAD-VADGAONSHERI,37898,2022,1.9780699307192303E7,835726.0943058683,1.1970842551007984E7,7448.577499389648,17721.254890441895,123982.45194082825,4.224957274397253,60.51779244556516,0.03765578447816216,0.0895886167381272,0.6267849787077445
4,NAGAR ROAD-VADGAONSHERI,16420,2022,9880834.790372405,414626.58731982653,8288887.350692213,0.0,0.0,262857.21013270353,4.196270822419038,83.88853296857731,0.0,0.0,2.660273303919866
3,NAGAR ROAD-VADGAONSHERI,13570,2022,1.717799484801488E7,1698035.8767735495,1.1199703324145567E7,188.5587158203125,1019928.114654541,33186.43871307373,9.884948108304838,65.19796648698974,0.0010976759365025814,5.937410761142507,0.19319157449222785
5,NAGAR ROAD-VADGAONSHERI,5084,2022,6983966.98790857,577395.809173584,5570891.125204407,0.0,0.0,300245.8183015413,8.267447572035156,79.76685936301476,0.0,0.0,4.299072702109856
1,YERWADA-KALAS-DHANORI,109608,2022,1.572442166049081E7,2591142.2170392824,8259567.48625522,20079.808250427246,0.0,419436.8641222487,16.47845798710542,52.52700331108656,0.12769823071381875,0.0,2.667423153476773
2,YERWADA-KALAS-DHANORI,50493,2022,5952044.4234634675,1440565.570480319,3704493.4805010627,65346.36943817139,0.0,135525.0054357192,24.202869938293578,62.23900927045559,1.097881077307999,0.0,2.276948822852667
6,YERWADA-KALAS-DHANORI,3768,2022,2256289.9061160805,281109.93700393976,1792199.8741856557,0.0,0.0,130455.89991915831,12.458945822606422,79.43127650961762,0.0,0.0,5.781876680187864
9,AUNDH-BANER,79889,2022,2.922236348867046E7,7174218.79145726,1.8414092244504754E7,54036.29638671875,0.0,471161.0095839255,24.550439919887765,63.01369925688562,0.1849141887776075,0.0,1.612330261262389
8,AUNDH-BANER,29757,2022,7957137.9741747035,1089405.5216440845,6289498.7814813405,0.0,0.0,287428.5873617138,13.690921599949702,79.04222349661686,0.0,0.0,3.612210675428501
60,AUNDH-BANER,1069,2022,4803167.627501548,163499.8966948266,3206320.760363768,2451.4075469970703,0.0,144953.86594082706,3.404001471001626,66.75429651893269,0.05103730989859733,0.0,3.0178806400772515
61,AUNDH-BANER,20950,2022,9077385.159510005,2375906.185124057,4625922.001036278,0.0,377.1649856567383,282.88018798828125,26.17390518716634,50.96095317923013,0.0,0.004154995949043739,0.0031163180036700242
10,KOTHRUD-BAVDHAN,46103,2022,1.036689351806913E7,2294438.2621309166,6840350.45830173,0.0,24429.149040222168,0.0,22.13236065492321,65.98264413904938,0.0,0.23564579878864408,0.0
12,KOTHRUD-BAVDHAN,20331,2022,2889116.2547291806,136083.14399988513,2748410.644115585,0.0,0.0,0.0,4.710199659744784,95.12980447279422,0.0,0.0,0.0
11,KOTHRUD-BAVDHAN,49444,2022,4562202.484325336,1453896.9751513319,2240932.2562932926,0.0,0.0,0.0,31.868313169934538,49.119526456631704,0.0,0.0,0.0
62,KOTHRUD-BAVDHAN,43017,2022,5093024.023696449,934975.4174539902,3000991.7875553803,0.0,0.0,11788.990829467773,18.357962049733224,58.92357415933217,0.0,0.0,0.23147330102149177
7,SHIVAJINAGAR-GHOLE ROAD,35318,2022,1.0644311521175722E7,2530594.7723213024,6399755.9582132595,1980.4411392211914,94.30294799804688,342236.59094193426,23.77415173622976,60.12371909147556,0.018605629262928983,8.85946900468304E-4,3.215206453335109
14,SHIVAJINAGAR-GHOLE ROAD,14079,2022,5947325.365365962,196565.49544040457,5439793.883583187,7733.786468505859,0.0,120322.70708761761,3.3051074788189116,91.4662230397152,0.13003805901629817,0.0,2.023139809843138
40,DHANKAWADI-SAHAKARNAGAR,7326,2022,4972068.4378424585,292116.72674431896,4489334.990440225,0.0,0.0,3019.1536026000977,5.875154986222954,90.29109407006258,0.0,0.0,0.06072228571154194
