ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2020,2021,2020_to_2021,118819.3096129174,96893.65171610515,-21925.65789681225,154776.62393400903,95208.83274892169
20,DHOLE PATIL ROAD,2020,2021,2020_to_2021,17803.24362625421,9463.502291092218,-8339.741335161993,28176.92216934503,11767.66325821222
52,NAGAR ROAD-VADGAONSHERI,2020,2021,2020_to_2021,150943.46520855473,382094.2019884898,231150.73677993505,1124788.997658464,37804.16741802739
45,NAGAR ROAD-VADGAONSHERI,2020,2021,2020_to_2021,138572.75062701656,114726.43288065594,-23846.317746360626,659167.3234065035,15742.312728881836
4,NAGAR ROAD-VADGAONSHERI,2020,2021,2020_to_2021,37148.09619388954,52502.417545543,15354.32135165346,164583.64603759168,17632.313934326172
3,NAGAR ROAD-VADGAONSHERI,2020,2021,2020_to_2021,188751.7519422045,218653.1445973116,29901.392655107105,307480.88385614136,51639.26416599049
5,NAGAR ROAD-VADGAONSHERI,2020,2021,2020_to_2021,148708.06256103516,63935.98350524902,-84772.07905578613,210955.06892215504,93542.52806091309
1,YERWADA-KALAS-DHANORI,2020,2021,2020_to_2021,264890.60740290623,389742.9988861084,124852.39148320217,376107.47428789333,122086.43208312988
2,YERWADA-KALAS-DHANORI,2020,2021,2020_to_2021,109914.86371124863,161415.22198378632,51500.35827253769,94552.90720923927,67823.00780959785
6,YERWADA-KALAS-DHANORI,2020,2021,2020_to_2021,23683.006240844727,17445.5225982666,-6237.483642578125,22699.356141034295,13970.229637145996
9,AUNDH-BANER,2020,2021,2020_to_2021,719092.3535926669,820698.7916329479,101606.43804028095,563026.0193854833,271389.00236340694
8,AUNDH-BANER,2020,2021,2020_to_2021,108024.30515253404,117294.17620008883,9269.871047554785,98005.6804316502,79333.7788630766
60,AUNDH-BANER,2020,2021,2020_to_2021,32607.711450015802,85664.92869169946,53057.217241683655,240490.7976966708,5940.228858947754
61,AUNDH-BANER,2020,2021,2020_to_2021,376847.27984655043,157959.914117641,-218887.36572890944,254498.91413179284,51281.503376740104
10,KOTHRUD-BAVDHAN,2020,2021,2020_to_2021,316569.7350739722,161925.2726018868,-154644.4624720854,219741.8547186758,90708.57073271509
12,KOTHRUD-BAVDHAN,2020,2021,2020_to_2021,8969.96414049934,11699.55001409194,2729.5858735925995,3511.8759476605583,3395.7223205566406
11,KOTHRUD-BAVDHAN,2020,2021,2020_to_2021,182798.7558495914,140613.50202633732,-42185.25382325408,32142.254955845252,10261.120426731482
62,KOTHRUD-BAVDHAN,2020,2021,2020_to_2021,158807.13110163074,108004.347056789,-50802.78404484174,110452.5003490074,43362.935920894844
7,SHIVAJINAGAR-GHOLE ROAD,2020,2021,2020_to_2021,262491.289784839,266548.0358617447,4056.7460769056925,149273.38304144167,112856.44427502202
14,SHIVAJINAGAR-GHOLE ROAD,2020,2021,2020_to_2021,46298.89568508373,37978.333232954436,-8320.562452129292,48324.880761539236,24426.6362991333
40,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,51227.91397752949,141499.75608565385,90271.84210812436,47550.83350408218,41606.770683647606
51,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,42580.58314128202,42023.37988275267,-557.2032585293491,86429.37081373626,12522.296446228025
42,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,1739.7594816918465,0.0,-1739.7594816918465,1739.7594816918465,1739.7594816918465
35,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,89121.21557024789,22888.908422402776,-66232.30714784512,21583.06321737252,16092.60034275429
39,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,0.0,0.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,315311.0378625309,896329.7165422927,581018.6786797618,157332.78055647307,55763.263411218984
64,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,35566.7870676078,19237.292880937166,-16329.494186670636,70897.19451443541,11477.493970085594
65,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,60466.17547203514,94913.66844485415,34447.49297281901,122021.83006361421,26105.138820543478
66,DHANKAWADI-SAHAKARNAGAR,2020,2021,2020_to_2021,216312.63296454935,488193.30401698087,271880.6710524315,85489.05856236473,5125.609912947113
67,SINHGAD ROAD,2020,2021,2020_to_2021,20126.560398864745,60342.91108500162,40216.35068613688,29482.904992615942,8491.84658427519
43,SINHGAD ROAD,2020,2021,2020_to_2021,370004.03224633913,254781.8923009535,-115222.13994538563,224527.64699099667,88769.67200595631
33,SINHGAD ROAD,2020,2021,2020_to_2021,91018.64466181735,75414.2263205734,-15604.418341243945,145515.46059627162,52261.616891928286
71,SINHGAD ROAD,2020,2021,2020_to_2021,120815.0804940018,173531.77825490912,52716.69776090732,115778.3348437141,46144.20772238339
70,SINHGAD ROAD,2020,2021,2020_to_2021,165412.5757268569,133661.99675849464,-31750.57896836227,82768.6752423455,32000.057398747464
34,SINHGAD ROAD,2020,2021,2020_to_2021,325864.0427415437,148679.38788476086,-177184.6548567828,87183.34339626541,27137.3133450078
30,SINHGAD ROAD,2020,2021,2020_to_2021,33103.83362591313,16130.395103544348,-16973.438522368786,38172.03044747745,29048.36545137892
68,SINHGAD ROAD,2020,2021,2020_to_2021,493962.59799658065,349359.63839640905,-144602.9596001716,11105.517632847206,1038.0853424072266
69,SINHGAD ROAD,2020,2021,2020_to_2021,307863.51425281615,120554.08518622904,-187309.42906658712,29424.586179546277,6133.874237060547
72,SINHGAD ROAD,2020,2021,2020_to_2021,587736.8470945768,227043.76605395146,-360693.08104062534,213001.8066094492,139351.91082329844
32,WARJE-KARVENAGAR,2020,2021,2020_to_2021,292410.25612481806,129640.08797161623,-162770.1681532018,137161.3451928232,88215.62918590472
50,WARJE-KARVENAGAR,2020,2021,2020_to_2021,478220.9166185863,166169.6851689358,-312051.2314496505,173882.8879039989,118303.3288923675
13,WARJE-KARVENAGAR,2020,2021,2020_to_2021,11903.67736379586,6225.634552001953,-5678.042811793906,18698.707873924108,11526.379077357871
44,WARJE-KARVENAGAR,2020,2021,2020_to_2021,0.0,463.59046310723994,463.59046310723994,278.59945642807907,0.0
73,WARJE-KARVENAGAR,2020,2021,2020_to_2021,399900.9352085488,113724.7339868882,-286176.2012216606,56424.043193054174,29871.978195489624
74,WARJE-KARVENAGAR,2020,2021,2020_to_2021,1011664.3654623593,357306.6211509258,-654357.7443114335,196726.00849313178,134214.27655573827
31,WARJE-KARVENAGAR,2020,2021,2020_to_2021,6121.352745056152,9099.032771002077,2977.680025945925,13461.73574736352,2735.7008056640625
26,HADAPSAR-MUNDHAWA,2020,2021,2020_to_2021,105615.0176049326,122807.48470874861,17192.467103816016,90395.28686251173,29210.176433069566
75,HADAPSAR-MUNDHAWA,2020,2021,2020_to_2021,263685.50798010733,412751.72530481685,149066.21732470952,705454.5557915783,45549.129324999056
22,HADAPSAR-MUNDHAWA,2020,2021,2020_to_2021,116361.9195653878,51640.93253855986,-64720.98702682794,118820.08968413109,56091.60599975586
