ward_number,ward_name,census_tree_count,year,total_area_m2,trees_area_m2,built_area_m2,grass_area_m2,bare_area_m2,water_area_m2,trees_pct,built_pct,grass_pct,bare_pct,water_pct
8,AUNDH-BANER,29757,2021,7957137.9741747035,940134.0765533453,6375221.605389919,0.0,188.56952667236328,253453.95191108854,11.814977691785645,80.11953074184494,0.0,0.002369815972581791,3.1852401294747716
60,AUNDH-BANER,1069,2021,4803167.627501548,129887.79612058752,3009925.6945964424,1885.6981811523438,6977.4377517700195,147483.44393846105,2.7042111829886504,62.66543098272229,0.039259470570116715,0.14526742127048053,3.0705454270222323
61,AUNDH-BANER,20950,2021,9077385.159510005,1752038.1414389526,4232257.981058786,0.0,2168.9194564819336,2357.30704498291,19.301132547002414,46.62419746092653,0.0,0.023893659003877844,0.02596900983664063
10,KOTHRUD-BAVDHAN,46103,2021,1.036689351806913E7,1903721.048448032,6699608.12143778,0.0,4433.073089599609,902.571195415422,18.363466790991083,64.62503072651995,0.0,0.04276182717487085,0.00870628403621849
12,KOTHRUD-BAVDHAN,20331,2021,2889116.2547291806,115293.20542743159,2758272.562166104,0.0,0.0,0.0,3.990604574624115,95.47115169391681,0.0,0.0,0.0
11,KOTHRUD-BAVDHAN,49444,2021,4562202.484325336,1221324.9362616153,2231817.5250398824,0.0,0.0,0.0,26.770511402284374,48.919738497094045,0.0,0.0,0.0
62,KOTHRUD-BAVDHAN,43017,2021,5093024.023696449,666689.3828096277,2813504.679935051,0.0,188.6275177001953,0.0,13.090246181987444,55.24232100309331,0.0,0.0037036447663031436,0.0
7,SHIVAJINAGAR-GHOLE ROAD,35318,2021,1.0644311521175722E7,2008474.200941855,6550426.05166571,188.61354064941406,0.0,341301.96744794684,18.868991169097317,61.53921781257845,0.001771965620079679,0.0,3.2064259559574424
14,SHIVAJINAGAR-GHOLE ROAD,14079,2021,5947325.365365962,156970.35021649528,5445866.729845112,0.0,0.0,122159.55094143722,2.6393435800672105,91.5683335833436,0.0,0.0,2.054025018587835
40,DHANKAWADI-SAHAKARNAGAR,7326,2021,4972068.4378424585,435770.1049223657,4463308.571179654,0.0,0.0,12170.936637878418,8.764362566004028,89.7676415153374,0.0,0.0,0.244786184865142
51,DHANKAWADI-SAHAKARNAGAR,4112,2021,3763283.4222621247,144256.91374442907,2486912.3834956456,0.0,96723.70214897605,339258.24287872313,3.8332726387563882,66.08357926974186,0.0,2.5701944630796647,9.014953295088086
42,DHANKAWADI-SAHAKARNAGAR,4926,2021,2474204.183188075,0.0,2474204.183188075,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
35,DHANKAWADI-SAHAKARNAGAR,13277,2021,4104450.982774262,199579.02989825077,3497256.366381772,0.0,0.0,0.0,4.862502457353071,85.20643518607504,0.0,0.0,0.0
39,DHANKAWADI-SAHAKARNAGAR,892,2021,1599763.8425800973,0.0,1599763.8425800973,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,11067,2021,9510691.453207772,5579047.195156567,1240707.0914510996,0.0,1077.6092023662493,39541.92989349365,58.66079477612389,13.045393151016723,0.0,0.011330503230685636,0.41576293467239883
64,DHANKAWADI-SAHAKARNAGAR,2155,2021,1921712.2641600673,54179.17132212321,1472977.9435815848,0.0,12604.86689264634,6133.692596435547,2.819317560311433,76.64924510566034,0.0,0.6559185330565402,0.319178511311444
65,DHANKAWADI-SAHAKARNAGAR,1025,2021,2219342.077154634,532640.7852877149,1169839.5947733268,0.0,8015.070885662003,351.5602596507353,23.99994082798633,52.71109878983372,0.0,0.36114625898220865,0.01584074232042058
66,DHANKAWADI-SAHAKARNAGAR,6823,2021,7526850.911097319,3927034.1068701358,596561.0332077326,0.0,0.0,3303.080612182617,52.17366669346748,7.925771883274376,0.0,0.0,0.04388396490373781
67,SINHGAD ROAD,11512,2021,4261982.131157076,305597.9697748821,3689936.6994672283,0.0,415.20360628015857,2488.2684710035137,7.170324988948651,86.57794861437993,0.0,0.009742030667956739,0.058382893086601925
43,SINHGAD ROAD,31170,2021,9423039.820878537,2733539.1571827,4260017.500679384,0.0,121505.17646732705,30785.50617547129,29.00910119392708,45.20852698977781,0.0,1.2894477660819093,0.3267046172007057
33,SINHGAD ROAD,5479,2021,6980337.898457712,377419.6689808268,6228988.730498503,4811.39778137207,0.0,56214.41894061519,5.406896836100395,89.23620634288754,0.06892786354132135,0.0,0.805325182797177
71,SINHGAD ROAD,12510,2021,4518950.236548627,1523472.1285597861,2430197.1032072175,566.0739440917969,10095.409240722656,172572.05985831475,33.7129653749705,53.777912479587165,0.01252666912579544,0.2234016466716633,3.818852849110319
70,SINHGAD ROAD,9693,2021,3164090.1555890236,819655.821584096,1635332.4615766646,0.0,0.0,0.0,25.904945222128468,51.68412975490052,0.0,0.0,0.0
34,SINHGAD ROAD,9333,2021,6411383.07290671,1800472.203035242,3697062.5877771117,0.0,0.0,93165.04650795144,28.08243061693968,57.66404137354072,0.0,0.0,1.4531193261817292
30,SINHGAD ROAD,8914,2021,2067845.1595951747,102178.69262934667,1846161.9014681934,0.0,0.0,55587.73845406326,4.941312561785349,89.27950397551136,0.0,0.0,2.688196366934252
68,SINHGAD ROAD,40221,2021,7276635.81572705,5005304.390093315,352097.1369232179,0.0,41178.62584734149,1501.445424936332,68.7859680881007,4.838735177074928,0.0,0.565901975722652,0.020633785487673386
69,SINHGAD ROAD,8066,2021,3606711.701574345,1870111.0262915217,386564.12666724704,0.0,55725.63587787104,1443.6551866119983,51.85085975891032,10.717910347492152,0.0,1.5450537910625504,0.040026908332646514
72,SINHGAD ROAD,1847,2021,8838331.410712812,4202745.5287825065,1812044.8918886646,0.0,0.0,1070408.3090555237,47.55134576293914,20.502115248725698,0.0,0.0,12.110977279694417
32,WARJE-KARVENAGAR,4720,2021,7036861.469536458,964541.7823091387,4558173.458672317,0.0,0.0,52092.437154403386,13.706988356737911,64.77565997860377,0.0,0.0,0.7402794183162297
50,WARJE-KARVENAGAR,809,2021,7413572.433156205,2113310.3755401014,2400800.540552659,11981.119415283203,0.0,81898.86304375144,28.505965168541486,32.38385491204485,0.16161060707654595,0.0,1.1047152203905068
13,WARJE-KARVENAGAR,12983,2021,4483597.376064988,34010.456182562135,4374301.091170076,0.0,0.0,75237.00403310735,0.758552861238653,97.56230821531003,0.0,0.0,1.6780499612821798
44,WARJE-KARVENAGAR,2736,2021,201144.64948374426,554.2366533466414,187286.45396297672,0.0,0.0,13303.958867420864,0.2755413354365326,93.11033350559617,0.0,0.0,6.614125158967273
73,WARJE-KARVENAGAR,340,2021,5004790.974533911,1776961.7273032705,513910.08253598784,0.0,0.0,1343529.2521161844,35.50521363119978,10.268362558015673,0.0,0.0,26.844862431868204
74,WARJE-KARVENAGAR,3139,2021,1.2589662866660876E7,6587508.944516495,2263410.0384576563,129163.39122772217,0.0,15665.451723495182,52.3247446280798,17.978321281751484,1.0259479749037939,0.0,0.1244310661008994
31,WARJE-KARVENAGAR,5991,2021,3096325.245348223,16668.191476290835,2885333.4389190655,0.0,0.0,87822.62687276208,0.5383217251266598,93.18573503393606,0.0,0.0,2.8363501865542955
26,HADAPSAR-MUNDHAWA,18840,2021,1.0660631143943626E7,399306.21708526614,8751398.527953625,0.0,6037.656288146973,0.0,3.7456151675608305,82.09081066391975,0.0,0.05663507353949681,0.0
