ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
21,DHOLE PATIL ROAD,2021,2022,2021_to_2022,80030.12160958684,209404.87117827177,129374.74956868493,165702.65219496182,65128.608876127364
20,DHOLE PATIL ROAD,2021,2022,2021_to_2022,3634.7282229255225,41842.41118193981,38207.68295901429,32686.554731900087,3068.8835650275732
52,NAGAR ROAD-VADGAONSHERI,2021,2022,2021_to_2022,150214.44812116429,429351.8554773367,279137.4073561724,1449857.114000568,39601.630126953125
45,NAGAR ROAD-VADGAONSHERI,2021,2022,2021_to_2022,69978.30281506706,415297.42411956756,345319.1213045005,694165.6529590086,12727.042907714844
4,NAGAR ROAD-VADGAONSHERI,2021,2022,2021_to_2022,42099.094780327294,109528.08364727542,67428.98886694812,243592.43879451376,36773.59072113037
3,NAGAR ROAD-VADGAONSHERI,2021,2022,2021_to_2022,141802.9547902724,544336.1080799777,402533.1532897053,596646.9760958804,78658.03467206768
5,NAGAR ROAD-VADGAONSHERI,2021,2022,2021_to_2022,76758.76840209961,111839.25479125977,35080.486389160156,103205.44090677897,49222.599449157715
1,YERWADA-KALAS-DHANORI,2021,2022,2021_to_2022,198580.4285538917,521517.2830788107,322936.85452491906,420542.8955166388,83440.64570297541
2,YERWADA-KALAS-DHANORI,2021,2022,2021_to_2022,123676.7264217302,256954.9776955399,133278.2512738097,63330.29071882659,36457.50859907561
6,YERWADA-KALAS-DHANORI,2021,2022,2021_to_2022,5092.264778137207,58015.573601517026,52923.30882337982,26979.55465814927,2263.2049713134766
9,AUNDH-BANER,2021,2022,2021_to_2022,356664.38942892035,1624827.8539333562,1268163.464504436,543391.541818297,178223.50136617024
8,AUNDH-BANER,2021,2022,2021_to_2022,81742.18104948156,231013.6261402205,149271.44509073894,70439.46988612157,40453.70717555027
60,AUNDH-BANER,2021,2022,2021_to_2022,41700.66752717261,75312.7681014117,33612.100574239084,260278.25835209264,9368.611201686486
61,AUNDH-BANER,2021,2022,2021_to_2022,89007.86722504858,712875.9109101535,623868.0436851049,486569.745373565,48243.87515872133
10,KOTHRUD-BAVDHAN,2021,2022,2021_to_2022,198041.6156479181,588758.8293308032,390717.21368288517,273994.8499910542,111107.27668702372
12,KOTHRUD-BAVDHAN,2021,2022,2021_to_2022,10585.268092136757,31375.206664590274,20789.938572453517,9266.151964105344,7734.698837280273
11,KOTHRUD-BAVDHAN,2021,2022,2021_to_2022,104746.12632180004,337318.16521151667,232572.0388897166,60914.04212745218,24050.246223449707
62,KOTHRUD-BAVDHAN,2021,2022,2021_to_2022,79360.63895476099,347646.67359912355,268286.0346443626,252847.0990313661,45197.281405669564
7,SHIVAJINAGAR-GHOLE ROAD,2021,2022,2021_to_2022,100085.94325031956,622206.5146297682,522120.57137944864,162889.93539691993,56959.10781692805
14,SHIVAJINAGAR-GHOLE ROAD,2021,2022,2021_to_2022,27326.762305734672,66921.90752964394,39595.14522390927,45171.180321397966,22068.965370178223
40,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,167332.83123704497,23679.45305899826,-143653.37817804673,51687.03817497702,43972.42999569762
51,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,25991.030159176098,67630.23381362615,41639.20365445006,113674.2491473329,11415.170705309101
42,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,0.0,0.0,0.0,0.0,0.0
35,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,6102.06446275898,193729.9244126862,187627.85994992722,32823.798810053806,3175.1487924014823
39,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,0.0,0.0,0.0,0.0,0.0
63,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,444702.22010028304,774274.3481125773,329572.1280122943,69088.5420951993,22617.581033414954
64,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,6929.157408172009,54667.640445574594,47738.483037402584,55011.97190231623,3804.8306631050855
65,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,37941.83472236184,135974.07145729812,98032.23673493628,66925.34875021543,7396.872445020489
66,DHANKAWADI-SAHAKARNAGAR,2021,2022,2021_to_2022,153937.46778803808,724628.1365120083,570690.6687239702,107544.97589799472,5567.826713562012
67,SINHGAD ROAD,2021,2022,2021_to_2022,14777.325855898389,97842.59724076213,83065.27138486374,32989.48914196537,7664.742598888921
43,SINHGAD ROAD,2021,2022,2021_to_2022,227410.85092587935,612619.098938138,385208.2480122587,236149.8576206282,65581.79008483887
33,SINHGAD ROAD,2021,2022,2021_to_2022,62302.412597686176,94966.10175607716,32663.689158390982,110333.91492866068,40782.28885234758
71,SINHGAD ROAD,2021,2022,2021_to_2022,179504.65401270246,165130.69154657112,-14373.962466131343,159822.19108943563,70191.80801158232
70,SINHGAD ROAD,2021,2022,2021_to_2022,85248.09054367963,275016.8264374079,189768.73589372824,129836.25700605805,55304.52497869753
34,SINHGAD ROAD,2021,2022,2021_to_2022,111900.85045875101,434868.1924386416,322967.3419798906,76532.39630267576,16256.938404217888
30,SINHGAD ROAD,2021,2022,2021_to_2022,10187.846183866614,29546.5744809319,19358.72829706529,15346.260490746592,5943.09779366886
68,SINHGAD ROAD,2021,2022,2021_to_2022,126033.66827251956,984515.7625306373,858482.0942581177,66383.0918191947,16811.722421204813
69,SINHGAD ROAD,2021,2022,2021_to_2022,40590.06217974494,621122.5543910306,580532.4922112856,28903.059846706015,8478.334742138431
72,SINHGAD ROAD,2021,2022,2021_to_2022,110239.04693459904,1081796.3418365777,971557.2949019787,141798.1087446624,76994.80624539245
32,WARJE-KARVENAGAR,2021,2022,2021_to_2022,122692.92666231042,519723.77249585325,397030.8458335428,205401.92885828952,36980.023850085694
50,WARJE-KARVENAGAR,2021,2022,2021_to_2022,90749.53339368032,914202.8232033221,823453.2898096418,46840.9747323429,22879.88996429443
13,WARJE-KARVENAGAR,2021,2022,2021_to_2022,14148.843032836914,6621.604411525352,-7527.238621311562,19097.38070436366,12545.259895324707
