ward_number,ward_name,from_year,to_year,period,trees_lost_m2,trees_gained_m2,net_tree_change_m2,built_gained_m2,trees_to_built_m2
63,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,38574.49589897605,4030928.6082592844,3992354.1123603084,383623.10767017415,1132.4159927368164
64,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,0.0,79246.73620408002,79246.73620408002,281926.29620932776,0.0
65,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,6888.673149108887,400844.54298233346,393955.86983322457,502896.66728997347,4718.203384399414
66,DHANKAWADI-SAHAKARNAGAR,2019,2025,2019_to_2025,27086.18832397461,3283136.355001234,3256050.1666772594,488139.6328652769,849.3273620605469
67,SINHGAD ROAD,2019,2025,2019_to_2025,471.7938003540039,289614.678932878,289142.885132524,147596.69579766964,471.7938003540039
43,SINHGAD ROAD,2019,2025,2019_to_2025,101248.90531921387,2386737.9707252653,2285489.0654060515,673128.173292272,85490.38272094727
33,SINHGAD ROAD,2019,2025,2019_to_2025,75840.2001815796,216418.3655727909,140578.1653912113,333872.6313343124,66136.10848487404
71,SINHGAD ROAD,2019,2025,2019_to_2025,262426.52422593057,388560.6680422316,126134.14381630102,737904.9482873953,226580.89410520063
70,SINHGAD ROAD,2019,2025,2019_to_2025,47144.1380220301,406296.85700192925,359152.71897989913,383472.7365433935,30333.15704390582
34,SINHGAD ROAD,2019,2025,2019_to_2025,53953.23838082109,1416473.3662646115,1362520.1278837903,224750.10033638155,6037.77717590332
30,SINHGAD ROAD,2019,2025,2019_to_2025,23582.04225921631,76616.36468736238,53034.32242814607,62056.48174417533,22638.75673675537
68,SINHGAD ROAD,2019,2025,2019_to_2025,15683.595291317211,3374819.7290586913,3359136.133767374,93561.32617184504,1779.7262090346394
69,SINHGAD ROAD,2019,2025,2019_to_2025,31877.744654636757,1545038.6174789427,1513160.872824306,156889.46820008516,10110.115468791886
72,SINHGAD ROAD,2019,2025,2019_to_2025,178389.86929455926,2595687.291420163,2417297.422125604,395311.20583490125,161970.8414777868
32,WARJE-KARVENAGAR,2019,2025,2019_to_2025,96894.3851634306,911654.5712466665,814760.1860832359,484893.2253123564,70751.76957924038
50,WARJE-KARVENAGAR,2019,2025,2019_to_2025,87077.33594880944,1467126.1878966694,1380048.8519478599,217593.00929915486,38303.130859375
13,WARJE-KARVENAGAR,2019,2025,2019_to_2025,15908.681907653809,17624.907274463127,1716.225366809318,16905.495047146665,14399.434440612793
44,WARJE-KARVENAGAR,2019,2025,2019_to_2025,0.0,906.8315635531557,906.8315635531557,283.0396728515625,0.0
73,WARJE-KARVENAGAR,2019,2025,2019_to_2025,45367.64628577139,1349863.4636634674,1304495.817377696,86878.50945404648,8363.056396663891
74,WARJE-KARVENAGAR,2019,2025,2019_to_2025,207550.7639833936,3578052.5084962156,3370501.744512822,312109.39785658894,110034.64747888902
31,WARJE-KARVENAGAR,2019,2025,2019_to_2025,5379.552528830135,60663.726638823864,55284.17410999373,16422.047464497882,1980.9952087402344
26,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,8867.747337341309,409740.52785752236,400872.78052018106,578053.8000305776,8773.409507751465
75,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,52881.30590951957,1243293.5595716583,1190412.2536621387,1690952.1991529868,9107.583741550821
22,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,53744.2916882085,215647.17638561767,161902.88469740917,695895.2129792457,42238.325928931146
54,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,849.2169189453125,1257426.2936475866,1256577.0767286413,540520.1548658783,660.4989547729492
23,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,6602.886650085449,96016.46129829557,89413.57464821012,83061.87259126552,6602.886650085449
49,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,3580.116117709291,234708.70068206787,231128.58456435858,341947.7386730418,939.3916532927868
53,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,192915.034571958,184101.56136091633,-8813.47321104168,669274.9303240607,106978.22333080816
56,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,1320.9247512817383,302170.67115888407,300849.74640760233,868552.9579599124,1320.9247512817383
55,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,82536.14803421918,1370179.983035996,1287643.835001777,1836822.0908507998,36319.92982339298
48,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,1535.4042486153398,164216.96113074798,162681.55688213263,1402975.5009709073,1063.6742757759841
47,HADAPSAR-MUNDHAWA,2019,2025,2019_to_2025,41783.53715577967,104930.05603613764,63146.51888035797,151635.87821251363,26693.50290742762
41,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,8775.037925720215,1512734.8074561036,1503959.7695303834,1868256.6347598813,8208.84733581543
38,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,1317.9777253394032,19434.70298429003,18116.725258950628,36421.211212636925,1317.9777253394032
46,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,0.0,2429.8553310020297,2429.8553310020297,277855.38617658423,0.0
57,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,1792.9753494262695,1218673.5488714778,1216880.5735220516,977367.9047338144,566.1940460205078
58,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,7077.346336364746,376324.00396833225,369246.6576319675,749427.1796083336,6039.326583862305
59,KONDHWA-YEWALEWADI,2019,2025,2019_to_2025,4718.531761169434,753619.6510012458,748901.1192400764,408811.2538223568,0.0
24,WANAVADI-RAMTEKDI,2019,2025,2019_to_2025,24053.686599731445,400402.8473996928,376349.16079996136,462455.19988846127,15186.343742370605
27,WANAVADI-RAMTEKDI,2019,2025,2019_to_2025,3490.439010620117,197038.1216363944,193547.6826257743,77790.40481528488,3490.439010620117
25,WANAVADI-RAMTEKDI,2019,2025,2019_to_2025,166517.95488026933,448146.97065348935,281629.01577322,251244.95659855858,158406.10805562334
25,WANAVADI-RAMTEKDI,2019,2025,2019_to_2025,170750.5895852781,886781.542934223,716030.9533489449,217347.00635621315,151036.93978974587
18,BHAVANI PETH,2019,2025,2019_to_2025,0.0,0.0,0.0,0.0,0.0
17,BHAVANI PETH,2019,2025,2019_to_2025,0.0,0.0,0.0,0.0,0.0
19,BHAVANI PETH,2019,2025,2019_to_2025,0.0,0.0,0.0,0.0,0.0
28,BIBVEWADI,2019,2025,2019_to_2025,6521.3041082643995,116166.65880853985,109645.35470027545,49158.773140552,6238.311600329829
36,BIBVEWADI,2019,2025,2019_to_2025,377.34668731689453,110143.83386780982,109766.48718049293,82204.99531585095,377.34668731689453
37,BIBVEWADI,2019,2025,2019_to_2025,0.0,12453.240280151367,12453.240280151367,5754.99080657959,0.0
15,KASBA-VISHRAMBAGWADA,2019,2025,2019_to_2025,0.0,282.94029235839844,282.94029235839844,3682.6915529438097,0.0
29,KASBA-VISHRAMBAGWADA,2019,2025,2019_to_2025,6979.742431640625,70698.92747300092,63719.185041360295,37582.5333635218,6979.742431640625
16,KASBA-VISHRAMBAGWADA,2019,2025,2019_to_2025,0.0,5753.0583572387695,5753.0583572387695,0.0,0.0
